Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration,Small Mol Conc Unit,LJP Library Plate,Replicate,Assay Well,Timepoint,Timepoint Unit,Total Cell Count Before Treatment,Total Cell Count After Treatment,Total Control Cell Count,Relative Cell Count,Normalized Growth Rate Inhibition Value
50029-3,MCF7,10011-101-1,Alvocidib,0.37,uM,LJP6,2,A16,72,hr,1389,474,5447,0.0870,-0.4204
50029-3,MCF7,10011-101-1,Alvocidib,0.37,uM,LJP6,3,A16,72,hr,1389,552,5740,0.0962,-0.3629
50029-3,MCF7,10011-101-1,Alvocidib,1.11,uM,LJP6,1,A15,72,hr,1389,391,5147,0.0760,-0.4887
50029-3,MCF7,10011-101-1,Alvocidib,1.11,uM,LJP6,2,A15,72,hr,1389,518,5447,0.0951,-0.3937
50029-3,MCF7,10011-101-1,Alvocidib,1.11,uM,LJP6,3,A15,72,hr,1389,550,5740,0.0958,-0.3640
50029-3,MCF7,10011-101-1,Alvocidib,3.33,uM,LJP6,1,A14,72,hr,1389,433,5147,0.0841,-0.4604
50029-3,MCF7,10011-101-1,Alvocidib,3.33,uM,LJP6,2,A14,72,hr,1389,486,5447,0.0892,-0.4130
50029-3,MCF7,10011-101-1,Alvocidib,3.33,uM,LJP6,3,A14,72,hr,1389,485,5740,0.0845,-0.4019
50029-3,MCF7,10011-101-1,Alvocidib,10,uM,LJP6,1,A13,72,hr,1389,479,5147,0.0931,-0.4308
50029-3,MCF7,10011-101-1,Alvocidib,10,uM,LJP6,2,A13,72,hr,1389,458,5447,0.0841,-0.4304
50029-3,MCF7,10011-101-1,Alvocidib,10,uM,LJP6,3,A13,72,hr,1389,590,5740,0.1028,-0.3418
50029-3,MCF7,10014-101-1,GW843682X,0.04,uM,LJP6,1,B18,72,hr,1389,4095,5147,0.7956,0.7721
50029-3,MCF7,10014-101-1,GW843682X,0.04,uM,LJP6,2,B18,72,hr,1389,5070,5447,0.9306,0.9284
